,game,player,color,move,turn,timestamp
1665,24,g0spursg0,Black,e5,2,0:07:53
1666,24,Alfons2357,White,Nf3,3,0:08:42
1667,24,g0spursg0,Black,Nc6,4,0:07:54
1668,24,Alfons2357,White,c3,5,0:08:51
1669,24,g0spursg0,Black,Nf6,6,0:08:55
1670,24,Alfons2357,White,d3,7,0:09:45
1671,24,g0spursg0,Black,Bc5,8,0:09:13
1672,24,Alfons2357,White,Bg5,9,0:09:47
1673,24,g0spursg0,Black,O-O,10,0:09:43
1674,24,Alfons2357,White,Nbd2,11,0:09:48
1675,24,g0spursg0,Black,d6,12,0:09:46
1676,24,Alfons2357,White,Nb3,13,0:09:52
1677,24,g0spursg0,Black,Bg4,14,0:09:54
1678,24,Alfons2357,White,Nxc5,15,0:09:53
1679,24,g0spursg0,Black,dxc5,16,0:09:57
1680,24,Alfons2357,White,Be2,17,0:09:58
1681,24,g0spursg0,Black,Qd6,18,0:00:38
1682,24,Alfons2357,White,Qb3,19,0:00:00
1683,24,g0spursg0,Black,Na5,20,0:00:38
1684,24,Alfons2357,White,Qc2,21,0:00:01
1685,24,g0spursg0,Black,Nd7,22,0:00:38
1686,24,Alfons2357,White,Rd1,23,0:00:02
1687,24,g0spursg0,Black,f6,24,0:00:38
1688,24,Alfons2357,White,Be3,25,0:00:03
1689,24,g0spursg0,Black,Be6,26,0:00:39
1690,24,Alfons2357,White,b4,27,0:00:04
1691,24,g0spursg0,Black,cxb4,28,0:00:39
1692,24,Alfons2357,White,cxb4,29,0:00:07
1693,24,g0spursg0,Black,Qxb4+,30,0:00:40
1694,24,Alfons2357,White,Bd2,31,0:00:09
1695,24,g0spursg0,Black,Qa3,32,0:00:40
1696,24,Alfons2357,White,O-O,33,0:00:14
1697,24,g0spursg0,Black,Bxa2,34,0:00:41
1698,24,Alfons2357,White,Bxa5,35,0:00:17
1699,24,g0spursg0,Black,Bb3,36,0:00:43
1700,24,Alfons2357,White,Qc3,37,0:00:19
1701,24,g0spursg0,Black,Nc5,38,0:00:43
1702,24,Alfons2357,White,Bb4,39,0:00:20
1703,24,g0spursg0,Black,Qa2,40,0:00:45
1704,24,Alfons2357,White,Bxc5,41,0:00:24
1705,24,g0spursg0,Black,Bxd1,42,0:00:47
1706,24,Alfons2357,White,Bxd1,43,0:00:27
1707,24,g0spursg0,Black,Rfd8,44,0:00:47
1708,24,Alfons2357,White,Bb3+,45,0:00:29
1709,25,Tombombadillen,White,e4,1,0:00:48
1710,25,Alfons2357,Black,c6,2,0:00:32
1711,25,Tombombadillen,White,Nf3,3,0:00:49
1712,25,Alfons2357,Black,d5,4,0:00:36
1713,25,Tombombadillen,White,d4,5,0:00:50
1714,25,Alfons2357,Black,Bg4,6,0:00:38
1715,25,Tombombadillen,White,Be2,7,0:00:52
1716,25,Alfons2357,Black,dxe4,8,0:00:40
1717,25,Tombombadillen,White,Ne5,9,0:00:57
1718,25,Alfons2357,Black,Bxe2,10,0:00:50
1719,25,Tombombadillen,White,Qxe2,11,0:00:58
1720,25,Alfons2357,Black,Qxd4,12,0:00:53
