;game;color;move;turn;timestamp
881;12;white;Rae1;29;0:08:19
882;12;black;Bxh3;30;0:09:07
883;12;white;f4;31;0:08:17
884;12;black;b5;32;0:08:47
885;12;white;Na5;33;0:08:06
886;12;black;Bg4;34;0:08:29
887;12;white;f5;35;0:07:49
888;12;black;Qh5;36;0:08:16
889;12;white;Rf2;37;0:07:28
890;12;black;Qh4;38;0:07:54
891;12;white;c4;39;0:06:59
892;12;black;dxc3;40;0:07:47
893;12;white;Qxc3;41;0:06:51
894;12;black;Qg3;42;0:07:36
895;12;white;Qxc7;43;0:06:17
896;12;black;Qxd3;44;0:07:29
897;12;white;Qc6;45;0:04:22
898;13;white;e4;1;0:09:55
899;13;black;c6;2;0:09:57
900;13;white;d4;3;0:09:53
901;13;black;d5;4;0:09:56
902;13;white;e5;5;0:09:52
903;13;black;Bf5;6;0:09:52
904;13;white;Bd3;7;0:09:47
905;13;black;Bxd3;8;0:09:49
906;13;white;Qxd3;9;0:09:46
907;13;black;Nd7;10;0:09:48
908;13;white;Nf3;11;0:09:44
909;13;black;e6;12;0:09:42
910;13;white;Bg5;13;0:09:41
911;13;black;Qc7;14;0:09:41
912;13;white;O-O;15;0:09:37
913;13;black;Be7;16;0:09:40
914;13;white;Qe3;17;0:09:30
915;13;black;Bxg5;18;0:09:31
916;13;white;Nxg5;19;0:09:28
917;13;black;Nb6;20;0:09:21
918;13;white;Qf4;21;0:09:24
919;13;black;Nc4;22;0:09:15
920;13;white;Nd2;23;0:09:00
921;13;black;Nxb2;24;0:08:54
922;13;white;Rab1;25;0:08:58
923;13;black;Nc4;26;0:08:31
924;13;white;Nxc4;27;0:08:55
925;13;black;dxc4;28;0:08:30
926;13;white;c3;29;0:08:53
927;13;black;f6;30;0:08:17
928;13;white;exf6;31;0:08:48
929;13;black;Qxf4;32;0:08:14
930;13;white;Nxe6;33;0:08:44
931;13;black;Nxf6;34;0:07:45
932;13;white;Nxf4;35;0:08:42
933;13;black;O-O-O;36;0:07:32
934;13;white;a4;37;0:08:36
935;13;black;Rhe8;38;0:07:30
936;13;white;Rb4;39;0:08:32
937;13;black;Nd5;40;0:07:09
938;13;white;Nxd5;41;0:08:26
939;13;black;cxd5;42;0:07:06
940;13;white;Rfb1;43;0:08:22
941;13;black;Re7;44;0:07:02
942;13;white;Rb5;45;0:08:20
943;13;black;Rde8;46;0:06:59
944;13;white;Rc5+;47;0:08:16
945;13;black;Kb8;48;0:06:17
946;13;white;g3;49;0:08:09
947;13;black;Re2;50;0:05:53
948;13;white;Kf1;51;0:08:00
949;13;black;Rc2;52;0:05:27
950;13;white;Rcb5;53;0:07:43
951;13;black;Rxc3;54;0:05:24
952;13;white;Rxb7+;55;0:07:41
953;13;black;Ka8;56;0:05:22
954;13;white;Rxg7;57;0:07:32
955;13;black;Ra3;58;0:05:04
956;13;white;Rb4;59;0:07:29
957;13;black;a5;60;0:05:01
958;13;white;Rb5;61;0:07:18
959;13;black;Rxa4;62;0:04:38
960;13;white;Rbb7;63;0:07:12
961;13;black;Rb4;64;0:04:30
962;13;white;Ra7+;65;0:07:10
963;13;black;Kb8;66;0:04:29
964;13;white;Rxa5;67;0:07:05
965;13;black;c3;68;0:04:28
966;13;white;Rxd5;69;0:07:02
967;13;black;c2;70;0:04:27
968;13;white;Rc5;71;0:07:01
969;13;black;Rb1+;72;0:04:24
970;13;white;Kg2;73;0:06:57
971;13;black;c1=Q;74;0:04:23
972;13;white;Ra5;75;0:06:44
973;13;black;Ra1;76;0:03:13
974;13;white;Rb5+;77;0:06:41
975;13;black;Ka8;78;0:03:08
976;13;white;d5;79;0:06:35
977;13;black;Qc4;80;0:02:56
978;13;white;Rgb7;81;0:06:08
979;13;black;Qe4+;82;0:02:45
980;13;white;Kh3;83;0:06:02
981;13;black;h5;84;0:02:32
982;13;white;d6;85;0:05:58
983;13;black;Qg4+;86;0:02:29
984;13;white;Kg2;87;0:05:54
985;13;black;Qe4+;88;0:02:18
986;13;white;Kh3;89;0:05:51
987;13;black;Qxb7;90;0:02:14
988;13;white;Rc5;91;0:05:37
989;13;black;Qd7+;92;0:02:04
990;13;white;Kg2;93;0:05:24
991;13;black;Ree1;94;0:02:02
992;13;white;Rd5;95;0:04:51
993;13;black;Qb7;96;0:01:47
994;14;white;e4;1;0:09:59
995;14;black;c6;2;0:09:57
996;14;white;Bc4;3;0:09:54
997;14;black;d5;4;0:09:54
998;14;white;Bb3;5;0:09:51
999;14;black;e5;6;0:09:48
1000;14;white;d3;7;0:09:41
1001;14;black;dxe4;8;0:09:31
1002;14;white;Qh5;9;0:09:23
1003;14;black;g6;10;0:08:50
1004;14;white;Qxe5+;11;0:09:21
1005;14;black;Qe7;12;0:08:28
1006;14;white;Qxh8;13;0:08:54
1007;14;black;exd3+;14;0:08:04
1008;14;white;Be3;15;0:08:52
1009;14;black;dxc2;16;0:07:29
1010;14;white;Bxc2;17;0:08:48
1011;14;black;Nf6;18;0:06:18
1012;14;white;Nf3;19;0:08:34
1013;14;black;Qb4+;20;0:06:08
1014;14;white;Nbd2;21;0:08:16
1015;14;black;Qxb2;22;0:06:02
1016;14;white;O-O;23;0:08:10
1017;14;black;Nbd7;24;0:05:29
1018;14;white;Bd4;25;0:07:38
1019;14;black;Qxc2;26;0:04:35
1020;14;white;Bxf6;27;0:07:33
1021;14;black;Nxf6;28;0:04:32
1022;14;white;Qxf6;29;0:07:30
1023;14;black;Be6;30;0:04:13
1024;14;white;Rfc1;31;0:06:57
1025;14;black;Qf5;32;0:03:20
1026;14;white;Qb2;33;0:06:28
1027;14;black;O-O-O;34;0:03:04
1028;14;white;Rab1;35;0:05:46
1029;14;black;Rd7;36;0:02:39
1030;14;white;Nd4;37;0:05:00
1031;14;black;Rxd4;38;0:02:34
1032;14;white;Qxd4;39;0:04:54
1033;14;black;Bd7;40;0:02:15
1034;14;white;g4;41;0:04:45
1035;14;black;Qe6;42;0:01:51
1036;14;white;f3;43;0:04:32
1037;14;black;Bh6;44;0:01:48
1038;14;white;Qxa7;45;0:04:27
1039;14;black;Be3+;46;0:01:46
1040;14;white;Kg2;47;0:04:21
1041;14;black;Bxa7;48;0:01:44
1042;15;white;e4;1;0:09:55
1043;15;black;c5;2;0:09:57
1044;15;white;Nf3;3;0:09:52
1045;15;black;d6;4;0:09:55
1046;15;white;Bc4;5;0:09:50
1047;15;black;Nd7;6;0:09:54
1048;15;white;d4;7;0:09:32
1049;15;black;Ngf6;8;0:09:43
1050;15;white;Ng5;9;0:09:11
1051;15;black;e6;10;0:09:25
1052;15;white;f4;11;0:07:48
1053;15;black;h6;12;0:09:11
1054;15;white;Nxf7;13;0:07:30
1055;15;black;Kxf7;14;0:09:08
1056;15;white;e5;15;0:07:28
1057;15;black;Ne4;16;0:08:55
1058;15;white;d5;17;0:06:53
1059;15;black;Qh4+;18;0:08:49
1060;15;white;g3;19;0:06:47
1061;15;black;Qh3;20;0:08:30
1062;15;white;dxe6+;21;0:06:41
1063;15;black;Ke7;22;0:08:16
1064;15;white;exd7;23;0:06:36
1065;15;black;Qg2;24;0:08:07
1066;15;white;dxc8=Q;25;0:06:25
1067;15;black;Qf2#;26;0:08:06
1068;16;white;e4;1;0:10:00
1069;16;black;e5;2;0:09:59
1070;16;white;Nf3;3;0:09:59
1071;16;black;Nc6;4;0:09:57
1072;16;white;Bc4;5;0:09:58
1073;16;black;Bc5;6;0:09:53
1074;16;white;O-O;7;0:09:51
1075;16;black;Nf6;8;0:09:49
1076;16;white;d3;9;0:09:50
1077;16;black;O-O;10;0:09:48
1078;16;white;Re1;11;0:09:46
1079;16;black;d6;12;0:09:45
1080;16;white;Be3;13;0:09:44
1081;16;black;Bxe3;14;0:09:39
1082;16;white;Rxe3;15;0:09:41
1083;16;black;Bg4;16;0:09:36
1084;16;white;Nbd2;17;0:09:29
1085;16;black;Qd7;18;0:09:26
1086;16;white;Qe1;19;0:09:11
1087;16;black;h6;20;0:09:19
1088;16;white;c3;21;0:09:11
1089;16;black;Rfe8;22;0:09:01
1090;16;white;h3;23;0:08:48
1091;16;black;Be6;24;0:08:58
1092;16;white;Bxe6;25;0:08:34
1093;16;black;Qxe6;26;0:08:51
1094;16;white;d4;27;0:08:17
1095;16;black;exd4;28;0:08:45
1096;16;white;Nxd4;29;0:08:09
1097;16;black;Nxd4;30;0:08:41
1098;16;white;cxd4;31;0:08:09
1099;16;black;b6;32;0:08:32
1100;16;white;a4;33;0:07:24
1101;16;black;c5;34;0:08:26
1102;16;white;e5;35;0:07:09
1103;16;black;Nd5;36;0:08:20
1104;16;white;Re4;37;0:06:41
1105;16;black;f5;38;0:07:48
1106;16;white;Re3;39;0:05:29
1107;16;black;Nxe3;40;0:07:42
1108;16;white;Qxe3;41;0:05:29
1109;16;black;cxd4;42;0:07:13
1110;16;white;Qxd4;43;0:05:20
1111;16;black;Rad8;44;0:07:06
1112;16;white;Re1;45;0:05:10
1113;16;black;dxe5;46;0:06:39
1114;16;white;Rxe5;47;0:04:28
1115;16;black;Rxd4;48;0:06:31
1116;16;white;Rxe6;49;0:04:19
1117;16;black;Rxe6;50;0:06:29
1118;16;white;Nf3;51;0:04:15
1119;16;black;Rd1+;52;0:06:26
1120;16;white;Kh2;53;0:04:14
1121;16;black;g5;54;0:06:20
1122;16;white;g3;55;0:03:32
1123;16;black;Re2;56;0:05:51
