"game";"player";"color";"move";"turn"
84;"Robert James Fischer";"White";"d4";15
84;"Robert James Fischer";"White";"cxd4";17
84;"Robert James Fischer";"White";"Nc3";19
85;"Robert James Fischer";"White";"e4";1
85;"Robert James Fischer";"White";"d4";3
85;"Robert James Fischer";"White";"Nc3";5
85;"Robert James Fischer";"White";"f3";7
85;"Robert James Fischer";"White";"Be3";9
85;"Robert James Fischer";"White";"Qd2";11
85;"Robert James Fischer";"White";"O-O-O";13
85;"Robert James Fischer";"White";"d5";15
85;"Robert James Fischer";"White";"g4";17
85;"Robert James Fischer";"White";"h4";19
89;"Fischer Robert J (USA)";"White";"e4";1
89;"Fischer Robert J (USA)";"White";"f4";3
89;"Fischer Robert J (USA)";"White";"Nf3";5
89;"Fischer Robert J (USA)";"White";"Nxe5";7
89;"Fischer Robert J (USA)";"White";"Nc3";9
89;"Fischer Robert J (USA)";"White";"Bc4";11
89;"Fischer Robert J (USA)";"White";"fxe5";13
89;"Fischer Robert J (USA)";"White";"Bxf7+";15
89;"Fischer Robert J (USA)";"White";"exf6";17
89;"Fischer Robert J (USA)";"White";"Qe2";19
90;"Fischer Robert J (USA)";"White";"e4";1
90;"Fischer Robert J (USA)";"White";"Nf3";3
90;"Fischer Robert J (USA)";"White";"d4";5
90;"Fischer Robert J (USA)";"White";"Nxd4";7
90;"Fischer Robert J (USA)";"White";"Nb5";9
90;"Fischer Robert J (USA)";"White";"Bf4";11
90;"Fischer Robert J (USA)";"White";"Be3";13
90;"Fischer Robert J (USA)";"White";"Bg5";15
90;"Fischer Robert J (USA)";"White";"N1c3";17
90;"Fischer Robert J (USA)";"White";"Bxf6";19
91;"Fischer Robert J (USA)";"White";"e4";1
91;"Fischer Robert J (USA)";"White";"d4";3
91;"Fischer Robert J (USA)";"White";"Nc3";5
91;"Fischer Robert J (USA)";"White";"Bg5";7
91;"Fischer Robert J (USA)";"White";"Nxe4";9
91;"Fischer Robert J (USA)";"White";"Bxf6";11
91;"Fischer Robert J (USA)";"White";"g3";13
91;"Fischer Robert J (USA)";"White";"Nc3";15
91;"Fischer Robert J (USA)";"White";"Nge2";17
91;"Fischer Robert J (USA)";"White";"d5";19
92;"Fischer Robert J (USA)";"White";"e4";1
92;"Fischer Robert J (USA)";"White";"Nf3";3
92;"Fischer Robert J (USA)";"White";"Nxe5";5
92;"Fischer Robert J (USA)";"White";"Nf3";7
92;"Fischer Robert J (USA)";"White";"d4";9
92;"Fischer Robert J (USA)";"White";"Bd3";11
92;"Fischer Robert J (USA)";"White";"h3";13
92;"Fischer Robert J (USA)";"White";"O-O";15
92;"Fischer Robert J (USA)";"White";"Re1";17
92;"Fischer Robert J (USA)";"White";"Bf4";19
93;"Fischer Robert J (USA)";"White";"e4";1
93;"Fischer Robert J (USA)";"White";"Nf3";3
93;"Fischer Robert J (USA)";"White";"d4";5
93;"Fischer Robert J (USA)";"White";"Nxd4";7
93;"Fischer Robert J (USA)";"White";"Bd3";9
93;"Fischer Robert J (USA)";"White";"Nxc6";11
93;"Fischer Robert J (USA)";"White";"O-O";13
93;"Fischer Robert J (USA)";"White";"c4";15
93;"Fischer Robert J (USA)";"White";"cxd5";17
93;"Fischer Robert J (USA)";"White";"exd5";19
94;"Fischer Robert J (USA)";"White";"e4";1
94;"Fischer Robert J (USA)";"White";"d4";3
94;"Fischer Robert J (USA)";"White";"Nc3";5
94;"Fischer Robert J (USA)";"White";"Nf3";7
94;"Fischer Robert J (USA)";"White";"exd5";9
94;"Fischer Robert J (USA)";"White";"Bb5";11
94;"Fischer Robert J (USA)";"White";"h3";13
94;"Fischer Robert J (USA)";"White";"Qxf3";15
94;"Fischer Robert J (USA)";"White";"Bg5";17
94;"Fischer Robert J (USA)";"White";"Bxc6+";19
95;"Fischer Robert J (USA)";"White";"e4";1
95;"Fischer Robert J (USA)";"White";"Nf3";3
95;"Fischer Robert J (USA)";"White";"d4";5
95;"Fischer Robert J (USA)";"White";"Nxd4";7
95;"Fischer Robert J (USA)";"White";"Nc3";9
95;"Fischer Robert J (USA)";"White";"Bc4";11
95;"Fischer Robert J (USA)";"White";"Bb3";13
95;"Fischer Robert J (USA)";"White";"Be3";15
95;"Fischer Robert J (USA)";"White";"Qe2";17
95;"Fischer Robert J (USA)";"White";"O-O-O";19
96;"Fischer Robert J (USA)";"White";"e4";1
96;"Fischer Robert J (USA)";"White";"d4";3
96;"Fischer Robert J (USA)";"White";"Nc3";5
96;"Fischer Robert J (USA)";"White";"e5";7
96;"Fischer Robert J (USA)";"White";"a3";9
96;"Fischer Robert J (USA)";"White";"bxc3";11
96;"Fischer Robert J (USA)";"White";"a4";13
96;"Fischer Robert J (USA)";"White";"Nf3";15
96;"Fischer Robert J (USA)";"White";"Bd3";17
96;"Fischer Robert J (USA)";"White";"O-O";19
97;"Fischer Robert J (USA)";"White";"e4";1
97;"Fischer Robert J (USA)";"White";"Nf3";3
97;"Fischer Robert J (USA)";"White";"d4";5
97;"Fischer Robert J (USA)";"White";"Nxd4";7
97;"Fischer Robert J (USA)";"White";"Nc3";9
97;"Fischer Robert J (USA)";"White";"Bc4";11
97;"Fischer Robert J (USA)";"White";"Bb3";13
97;"Fischer Robert J (USA)";"White";"Be3";15
97;"Fischer Robert J (USA)";"White";"f4";17
97;"Fischer Robert J (USA)";"White";"O-O";19
98;"Fischer Robert J (USA)";"White";"e4";1
98;"Fischer Robert J (USA)";"White";"Nf3";3
98;"Fischer Robert J (USA)";"White";"d4";5
98;"Fischer Robert J (USA)";"White";"Nxd4";7
98;"Fischer Robert J (USA)";"White";"Nc3";9
98;"Fischer Robert J (USA)";"White";"Bc4";11
98;"Fischer Robert J (USA)";"White";"Bb3";13
98;"Fischer Robert J (USA)";"White";"Be3";15
98;"Fischer Robert J (USA)";"White";"O-O";17
98;"Fischer Robert J (USA)";"White";"f4";19
101;"Fischer Robert J (USA)";"White";"e4";1
101;"Fischer Robert J (USA)";"White";"Nf3";3
101;"Fischer Robert J (USA)";"White";"Bb5";5
101;"Fischer Robert J (USA)";"White";"c3";7
101;"Fischer Robert J (USA)";"White";"Nxe5";9
101;"Fischer Robert J (USA)";"White";"Qe2";11
101;"Fischer Robert J (USA)";"White";"Nxc6";13
101;"Fischer Robert J (USA)";"White";"d4";15
101;"Fischer Robert J (USA)";"White";"Nd2";17
101;"Fischer Robert J (USA)";"White";"O-O";19
102;"Fischer Robert J (USA)";"White";"e4";1
102;"Fischer Robert J (USA)";"White";"Nf3";3
102;"Fischer Robert J (USA)";"White";"d4";5
102;"Fischer Robert J (USA)";"White";"Nxd4";7
102;"Fischer Robert J (USA)";"White";"Nb5";9
102;"Fischer Robert J (USA)";"White";"Bf4";11
102;"Fischer Robert J (USA)";"White";"Be3";13
102;"Fischer Robert J (USA)";"White";"Bg5";15
102;"Fischer Robert J (USA)";"White";"Qd2";17
102;"Fischer Robert J (USA)";"White";"Qxa5";19
103;"Fischer Robert J (USA)";"White";"e4";1
103;"Fischer Robert J (USA)";"White";"Nf3";3
103;"Fischer Robert J (USA)";"White";"d4";5
103;"Fischer Robert J (USA)";"White";"Nxd4";7
103;"Fischer Robert J (USA)";"White";"Nc3";9
103;"Fischer Robert J (USA)";"White";"g3";11
103;"Fischer Robert J (USA)";"White";"Bg2";13
103;"Fischer Robert J (USA)";"White";"O-O";15
103;"Fischer Robert J (USA)";"White";"Qxd4";17
103;"Fischer Robert J (USA)";"White";"Bf4";19
104;"Fischer Robert J (USA)";"White";"e4";1
104;"Fischer Robert J (USA)";"White";"Nf3";3
