"game";"player";"color";"move";"turn"
73;"Fischer Robert J (USA)";"Black";"g6";4
73;"Fischer Robert J (USA)";"Black";"Bg7";6
73;"Fischer Robert J (USA)";"Black";"d6";8
73;"Fischer Robert J (USA)";"Black";"O-O";10
73;"Fischer Robert J (USA)";"Black";"e5";12
73;"Fischer Robert J (USA)";"Black";"Nc6";14
73;"Fischer Robert J (USA)";"Black";"Ne7";16
73;"Fischer Robert J (USA)";"Black";"Ne8";18
73;"Fischer Robert J (USA)";"Black";"f5";20
74;"Fischer Robert J (USA)";"Black";"Nf6";2
74;"Fischer Robert J (USA)";"Black";"g6";4
74;"Fischer Robert J (USA)";"Black";"Bg7";6
74;"Fischer Robert J (USA)";"Black";"d6";8
74;"Fischer Robert J (USA)";"Black";"O-O";10
74;"Fischer Robert J (USA)";"Black";"e5";12
74;"Fischer Robert J (USA)";"Black";"Nc6";14
74;"Fischer Robert J (USA)";"Black";"Ne7";16
74;"Fischer Robert J (USA)";"Black";"Ne8";18
74;"Fischer Robert J (USA)";"Black";"f5";20
75;"Fischer Robert J (USA)";"Black";"Nf6";2
75;"Fischer Robert J (USA)";"Black";"g6";4
75;"Fischer Robert J (USA)";"Black";"d5";6
75;"Fischer Robert J (USA)";"Black";"Ne4";8
75;"Fischer Robert J (USA)";"Black";"Nxc3";10
75;"Fischer Robert J (USA)";"Black";"dxc4";12
75;"Fischer Robert J (USA)";"Black";"Be6";14
75;"Fischer Robert J (USA)";"Black";"b6";16
75;"Fischer Robert J (USA)";"Black";"Bh6";18
75;"Fischer Robert J (USA)";"Black";"c6";20
76;"Robert James Fischer";"Black";"Nf6";2
76;"Robert James Fischer";"Black";"g6";4
76;"Robert James Fischer";"Black";"Bg7";6
76;"Robert James Fischer";"Black";"d6";8
76;"Robert James Fischer";"Black";"O-O";10
76;"Robert James Fischer";"Black";"e5";12
76;"Robert James Fischer";"Black";"Nc6";14
76;"Robert James Fischer";"Black";"Ne7";16
76;"Robert James Fischer";"Black";"Ne8";18
76;"Robert James Fischer";"Black";"f5";20
77;"Robert James Fischer";"Black";"Nf6";2
77;"Robert James Fischer";"Black";"g6";4
77;"Robert James Fischer";"Black";"Bg7";6
77;"Robert James Fischer";"Black";"d6";8
77;"Robert James Fischer";"Black";"O-O";10
77;"Robert James Fischer";"Black";"e5";12
77;"Robert James Fischer";"Black";"Nc6";14
77;"Robert James Fischer";"Black";"Ne7";16
77;"Robert James Fischer";"Black";"Ne8";18
77;"Robert James Fischer";"Black";"f5";20
82;"Robert James Fischer";"Black";"c5";2
82;"Robert James Fischer";"Black";"Nf6";4
82;"Robert James Fischer";"Black";"Nd5";6
82;"Robert James Fischer";"Black";"cxd4";8
82;"Robert James Fischer";"Black";"d6";10
82;"Robert James Fischer";"Black";"Nc6";12
82;"Robert James Fischer";"Black";"e6";14
82;"Robert James Fischer";"Black";"Be7";16
82;"Robert James Fischer";"Black";"Nxc3";18
82;"Robert James Fischer";"Black";"O-O";20
87;"Fischer Robert J (USA)";"Black";"g6";2
87;"Fischer Robert J (USA)";"Black";"Bg7";4
87;"Fischer Robert J (USA)";"Black";"Nf6";6
87;"Fischer Robert J (USA)";"Black";"O-O";8
87;"Fischer Robert J (USA)";"Black";"c6";10
87;"Fischer Robert J (USA)";"Black";"d5";12
87;"Fischer Robert J (USA)";"Black";"cxd5";14
87;"Fischer Robert J (USA)";"Black";"Ne4";16
87;"Fischer Robert J (USA)";"Black";"Nc6";18
87;"Fischer Robert J (USA)";"Black";"Na5";20
88;"Fischer Robert J (USA)";"Black";"Nf6";2
88;"Fischer Robert J (USA)";"Black";"Nd5";4
88;"Fischer Robert J (USA)";"Black";"d6";6
88;"Fischer Robert J (USA)";"Black";"Nb6";8
88;"Fischer Robert J (USA)";"Black";"Bf5";10
88;"Fischer Robert J (USA)";"Black";"e6";12
88;"Fischer Robert J (USA)";"Black";"Be7";14
88;"Fischer Robert J (USA)";"Black";"O-O";16
88;"Fischer Robert J (USA)";"Black";"cxd6";18
88;"Fischer Robert J (USA)";"Black";"d5";20
99;"Fischer Robert J (USA)";"Black";"c5";2
99;"Fischer Robert J (USA)";"Black";"g6";4
99;"Fischer Robert J (USA)";"Black";"cxd4";6
99;"Fischer Robert J (USA)";"Black";"Nc6";8
99;"Fischer Robert J (USA)";"Black";"Nf6";10
99;"Fischer Robert J (USA)";"Black";"d6";12
99;"Fischer Robert J (USA)";"Black";"Nxd4";14
99;"Fischer Robert J (USA)";"Black";"Bg7";16
99;"Fischer Robert J (USA)";"Black";"h6";18
99;"Fischer Robert J (USA)";"Black";"O-O";20
100;"Fischer Robert J (USA)";"Black";"g6";2
100;"Fischer Robert J (USA)";"Black";"Bg7";4
100;"Fischer Robert J (USA)";"Black";"Nf6";6
100;"Fischer Robert J (USA)";"Black";"O-O";8
100;"Fischer Robert J (USA)";"Black";"d6";10
100;"Fischer Robert J (USA)";"Black";"e5";12
100;"Fischer Robert J (USA)";"Black";"Nc6";14
100;"Fischer Robert J (USA)";"Black";"Ne7";16
100;"Fischer Robert J (USA)";"Black";"c5";18
100;"Fischer Robert J (USA)";"Black";"Ne8";20
105;"Fischer Robert J (USA)";"Black";"Nf6";2
105;"Fischer Robert J (USA)";"Black";"g6";4
105;"Fischer Robert J (USA)";"Black";"d5";6
105;"Fischer Robert J (USA)";"Black";"Ne4";8
105;"Fischer Robert J (USA)";"Black";"Nxc3";10
105;"Fischer Robert J (USA)";"Black";"dxc4";12
105;"Fischer Robert J (USA)";"Black";"Be6";14
105;"Fischer Robert J (USA)";"Black";"b6";16
105;"Fischer Robert J (USA)";"Black";"Bh6";18
105;"Fischer Robert J (USA)";"Black";"c6";20
107;"Robert James Fischer";"Black";"Nf6";2
107;"Robert James Fischer";"Black";"g6";4
107;"Robert James Fischer";"Black";"Bg7";6
107;"Robert James Fischer";"Black";"d6";8
107;"Robert James Fischer";"Black";"O-O";10
107;"Robert James Fischer";"Black";"e5";12
107;"Robert James Fischer";"Black";"Nc6";14
107;"Robert James Fischer";"Black";"Ne7";16
107;"Robert James Fischer";"Black";"Ne8";18
107;"Robert James Fischer";"Black";"f5";20
109;"Robert James Fischer";"Black";"Nf6";2
109;"Robert James Fischer";"Black";"g6";4
109;"Robert James Fischer";"Black";"Bg7";6
109;"Robert James Fischer";"Black";"d6";8
109;"Robert James Fischer";"Black";"O-O";10
109;"Robert James Fischer";"Black";"e5";12
109;"Robert James Fischer";"Black";"Nc6";14
109;"Robert James Fischer";"Black";"Ne7";16
109;"Robert James Fischer";"Black";"Ne8";18
109;"Robert James Fischer";"Black";"f5";20
113;"Fischer Robert J (USA)";"Black";"Nf6";2
113;"Fischer Robert J (USA)";"Black";"g6";4
113;"Fischer Robert J (USA)";"Black";"d5";6
113;"Fischer Robert J (USA)";"Black";"Ne4";8
113;"Fischer Robert J (USA)";"Black";"Nxc3";10
113;"Fischer Robert J (USA)";"Black";"dxc4";12
113;"Fischer Robert J (USA)";"Black";"Be6";14
113;"Fischer Robert J (USA)";"Black";"b6";16
113;"Fischer Robert J (USA)";"Black";"Bg7";18
113;"Fischer Robert J (USA)";"Black";"O-O";20
114;"Fischer Robert J (USA)";"Black";"Nf6";2
114;"Fischer Robert J (USA)";"Black";"e6";4
114;"Fischer Robert J (USA)";"Black";"d5";6
114;"Fischer Robert J (USA)";"Black";"c5";8
114;"Fischer Robert J (USA)";"Black";"Nxd5";10
114;"Fischer Robert J (USA)";"Black";"Nc6";12
114;"Fischer Robert J (USA)";"Black";"cxd4";14
114;"Fischer Robert J (USA)";"Black";"Be7";16
114;"Fischer Robert J (USA)";"Black";"a6";18
114;"Fischer Robert J (USA)";"Black";"O-O";20
115;"Fischer Robert J (USA)";"Black";"g6";2
115;"Fischer Robert J (USA)";"Black";"Bg7";4
115;"Fischer Robert J (USA)";"Black";"c5";6
115;"Fischer Robert J (USA)";"Black";"cxd4";8
115;"Fischer Robert J (USA)";"Black";"Nc6";10
115;"Fischer Robert J (USA)";"Black";"Bxc3+";12
115;"Fischer Robert J (USA)";"Black";"Nf6";14
115;"Fischer Robert J (USA)";"Black";"d6";16
115;"Fischer Robert J (USA)";"Black";"Be6";18
115;"Fischer Robert J (USA)";"Black";"Rc8";20
116;"Fischer Robert J (USA)";"Black";"Nf6";2
116;"Fischer Robert J (USA)";"Black";"e6";4
116;"Fischer Robert J (USA)";"Black";"Bb4";6
116;"Fischer Robert J (USA)";"Black";"b6";8
116;"Fischer Robert J (USA)";"Black";"Bb7";10
116;"Fischer Robert J (USA)";"Black";"O-O";12
116;"Fischer Robert J (USA)";"Black";"Bxc3";14
116;"Fischer Robert J (USA)";"Black";"Be4";16
116;"Fischer Robert J (USA)";"Black";"c5";18
116;"Fischer Robert J (USA)";"Black";"Bg6";20
117;"Fischer Robert J (USA)";"Black";"c5";2
117;"Fischer Robert J (USA)";"Black";"Nf6";4
117;"Fischer Robert J (USA)";"Black";"Nd5";6
117;"Fischer Robert J (USA)";"Black";"cxd4";8
117;"Fischer Robert J (USA)";"Black";"e6";10
117;"Fischer Robert J (USA)";"Black";"Nc6";12
117;"Fischer Robert J (USA)";"Black";"d6";14
117;"Fischer Robert J (USA)";"Black";"Be7";16
117;"Fischer Robert J (USA)";"Black";"dxe5";18
117;"Fischer Robert J (USA)";"Black";"Nxe5";20
118;"Fischer Robert J (USA)";"Black";"c5";2
118;"Fischer Robert J (USA)";"Black";"d6";4
118;"Fischer Robert J (USA)";"Black";"cxd4";6
118;"Fischer Robert J (USA)";"Black";"Nf6";8
