,game,player,color,move,turn
13399,151,Fischer Robert J (USA),Black,Nxe6,56
13400,151,Portisch Lajos (HUN),White,Qxf6,57
13401,151,Fischer Robert J (USA),Black,gxf6,58
13402,151,Portisch Lajos (HUN),White,axb5,59
13403,151,Fischer Robert J (USA),Black,axb5,60
13404,151,Portisch Lajos (HUN),White,Rxb5+,61
13405,151,Fischer Robert J (USA),Black,Kc7,62
13406,151,Portisch Lajos (HUN),White,Ne3,63
13407,151,Fischer Robert J (USA),Black,Rf8,64
13408,151,Portisch Lajos (HUN),White,Ra5,65
13409,151,Fischer Robert J (USA),Black,Kb7,66
13410,151,Portisch Lajos (HUN),White,Nxc4,67
13411,151,Fischer Robert J (USA),Black,Rxf7,68
13412,151,Portisch Lajos (HUN),White,Rxc5,69
13413,151,Fischer Robert J (USA),Black,Nxc5,70
13414,151,Portisch Lajos (HUN),White,Nd6+,71
13415,151,Fischer Robert J (USA),Black,Kc6,72
13416,151,Portisch Lajos (HUN),White,Nxf7,73
13417,151,Fischer Robert J (USA),Black,Ne4,74
13418,151,Portisch Lajos (HUN),White,Nh6,75
13419,151,Fischer Robert J (USA),Black,Kd5,76
13420,151,Portisch Lajos (HUN),White,Nf5,77
13421,151,Fischer Robert J (USA),Black,h3,78
13422,152,Dragoljub Minic,White,e4,1
13423,152,Robert James Fischer,Black,c5,2
13424,152,Dragoljub Minic,White,Nf3,3
13425,152,Robert James Fischer,Black,d6,4
13426,152,Dragoljub Minic,White,d4,5
13427,152,Robert James Fischer,Black,cxd4,6
13428,152,Dragoljub Minic,White,Nxd4,7
13429,152,Robert James Fischer,Black,Nf6,8
13430,152,Dragoljub Minic,White,Nc3,9
13431,152,Robert James Fischer,Black,a6,10
13432,152,Dragoljub Minic,White,Bg5,11
13433,152,Robert James Fischer,Black,e6,12
13434,152,Dragoljub Minic,White,f4,13
13435,152,Robert James Fischer,Black,Be7,14
13436,152,Dragoljub Minic,White,Qf3,15
13437,152,Robert James Fischer,Black,Qc7,16
13438,152,Dragoljub Minic,White,O-O-O,17
13439,152,Robert James Fischer,Black,Nbd7,18
13440,152,Dragoljub Minic,White,g4,19
13441,152,Robert James Fischer,Black,b5,20
13442,152,Dragoljub Minic,White,Bxf6,21
13443,152,Robert James Fischer,Black,Nxf6,22
13444,152,Dragoljub Minic,White,g5,23
13445,152,Robert James Fischer,Black,Nd7,24
13446,152,Dragoljub Minic,White,a3,25
13447,152,Robert James Fischer,Black,Rb8,26
13448,152,Dragoljub Minic,White,h4,27
13449,152,Robert James Fischer,Black,b4,28
13450,152,Dragoljub Minic,White,axb4,29
13451,152,Robert James Fischer,Black,Rxb4,30
13452,152,Dragoljub Minic,White,Bh3,31
13453,152,Robert James Fischer,Black,O-O,32
13454,152,Dragoljub Minic,White,Nf5,33
13455,152,Robert James Fischer,Black,Nc5,34
13456,152,Dragoljub Minic,White,Nxe7+,35
13457,152,Robert James Fischer,Black,Qxe7,36
13458,152,Dragoljub Minic,White,h5,37
13459,152,Robert James Fischer,Black,Bb7,38
13460,152,Dragoljub Minic,White,h6,39
13461,152,Robert James Fischer,Black,Bxe4,40
13462,152,Dragoljub Minic,White,Nxe4,41
13463,152,Robert James Fischer,Black,Nxe4,42
13464,152,Dragoljub Minic,White,hxg7,43
13465,152,Robert James Fischer,Black,Rc8,44
13466,152,Dragoljub Minic,White,Rh2,45
13467,152,Robert James Fischer,Black,Ra4,46
13468,152,Dragoljub Minic,White,Kb1,47
13469,152,Robert James Fischer,Black,d5,48
13470,152,Dragoljub Minic,White,c4,49
13471,152,Robert James Fischer,Black,Raxc4,50
13472,152,Dragoljub Minic,White,Bf1,51
13473,152,Robert James Fischer,Black,Rb4,52
13474,152,Dragoljub Minic,White,Qh3,53
13475,152,Robert James Fischer,Black,Nc3+,54
13476,152,Dragoljub Minic,White,Kc1,55
13477,152,Robert James Fischer,Black,Na4+,56
13478,152,Dragoljub Minic,White,Kb1,57
13479,152,Robert James Fischer,Black,Rxb2+,58
13480,152,Dragoljub Minic,White,Rxb2,59
13481,152,Robert James Fischer,Black,Nc3+,60
13482,152,Dragoljub Minic,White,Kc1,61
13483,152,Robert James Fischer,Black,Qa3,62
13484,152,Dragoljub Minic,White,Bd3,63
13485,152,Robert James Fischer,Black,Qa1+,64
13486,152,Dragoljub Minic,White,Kd2,65
13487,152,Robert James Fischer,Black,Qxb2+,66
13488,152,Dragoljub Minic,White,Ke1,67
13489,152,Robert James Fischer,Black,Ne4,68
13490,153,Bruno Parma,White,e4,1
13491,153,Robert James Fischer,Black,c5,2
13492,153,Bruno Parma,White,Nf3,3
13493,153,Robert James Fischer,Black,d6,4
13494,153,Bruno Parma,White,d4,5
13495,153,Robert James Fischer,Black,cxd4,6
13496,153,Bruno Parma,White,Nxd4,7
13497,153,Robert James Fischer,Black,Nf6,8
13498,153,Bruno Parma,White,Nc3,9
13499,153,Robert James Fischer,Black,a6,10
13500,153,Bruno Parma,White,Bg5,11
13501,153,Robert James Fischer,Black,e6,12
13502,153,Bruno Parma,White,f4,13
13503,153,Robert James Fischer,Black,Qb6,14
13504,153,Bruno Parma,White,Qd2,15
13505,153,Robert James Fischer,Black,Qxb2,16
13506,153,Bruno Parma,White,Rb1,17
13507,153,Robert James Fischer,Black,Qa3,18
13508,153,Bruno Parma,White,Bxf6,19
13509,153,Robert James Fischer,Black,gxf6,20
13510,153,Bruno Parma,White,Be2,21
13511,153,Robert James Fischer,Black,Bg7,22
13512,153,Bruno Parma,White,O-O,23
13513,153,Robert James Fischer,Black,f5,24
13514,153,Bruno Parma,White,Rfd1,25
13515,153,Robert James Fischer,Black,O-O,26
13516,153,Bruno Parma,White,exf5,27
13517,153,Robert James Fischer,Black,exf5,28
13518,153,Bruno Parma,White,Nd5,29
13519,153,Robert James Fischer,Black,Nc6,30
13520,153,Bruno Parma,White,Nxc6,31
13521,153,Robert James Fischer,Black,bxc6,32
13522,153,Bruno Parma,White,Ne7+,33
13523,153,Robert James Fischer,Black,Kh8,34
13524,153,Bruno Parma,White,Nxc8,35
13525,153,Robert James Fischer,Black,Rfxc8,36
13526,153,Bruno Parma,White,Qd3,37
13527,153,Robert James Fischer,Black,Qc5+,38
13528,153,Bruno Parma,White,Kh1,39
13529,153,Robert James Fischer,Black,Re8,40
13530,153,Bruno Parma,White,Qc4,41
13531,153,Robert James Fischer,Black,Qxc4,42
13532,153,Bruno Parma,White,Bxc4,43
13533,153,Robert James Fischer,Black,Re4,44
13534,153,Bruno Parma,White,Bxf7,45
13535,153,Robert James Fischer,Black,Rf8,46
13536,153,Bruno Parma,White,Bh5,47
13537,153,Robert James Fischer,Black,Rxf4,48
13538,153,Bruno Parma,White,Rb6,49
13539,153,Robert James Fischer,Black,Be5,50
13540,153,Bruno Parma,White,Rxa6,51
13541,153,Robert James Fischer,Black,Rh4,52
13542,153,Bruno Parma,White,Bf3,53
13543,153,Robert James Fischer,Black,Rxh2+,54
13544,153,Bruno Parma,White,Kg1,55
13545,153,Robert James Fischer,Black,c5,56
13546,153,Bruno Parma,White,Ra8,57
13547,153,Robert James Fischer,Black,Rxa8,58
13548,153,Bruno Parma,White,Bxa8,59
13549,153,Robert James Fischer,Black,Rh4,60
13550,153,Bruno Parma,White,Bc6,61
13551,153,Robert James Fischer,Black,Rb4,62
13552,153,Bruno Parma,White,a4,63
13553,153,Robert James Fischer,Black,Rb2,64
13554,153,Bruno Parma,White,c4,65
13555,153,Robert James Fischer,Black,Kg7,66
13556,153,Bruno Parma,White,Rd3,67
13557,153,Robert James Fischer,Black,Ra2,68
13558,153,Bruno Parma,White,Kf1,69
13559,153,Robert James Fischer,Black,Kg6,70
13560,153,Bruno Parma,White,Re3,71
13561,153,Robert James Fischer,Black,h5,72
13562,153,Bruno Parma,White,Re2,73
13563,153,Robert James Fischer,Black,Ra3,74
13564,153,Bruno Parma,White,Rd2,75
13565,153,Robert James Fischer,Black,h4,76
13566,153,Bruno Parma,White,Ke2,77
13567,153,Robert James Fischer,Black,Bf4,78
13568,153,Bruno Parma,White,Rd3,79
13569,153,Robert James Fischer,Black,Ra2+,80
13570,153,Bruno Parma,White,Kd1,81
13571,153,Robert James Fischer,Black,Kf6,82
13572,153,Bruno Parma,White,Rf3,83
13573,153,Robert James Fischer,Black,Be5,84
13574,153,Bruno Parma,White,Rd3,85
13575,153,Robert James Fischer,Black,Ke7,86
13576,153,Bruno Parma,White,Rd2,87
13577,153,Robert James Fischer,Black,Ra3,88
13578,153,Bruno Parma,White,Ke2,89
13579,153,Robert James Fischer,Black,Bc3,90
13580,153,Bruno Parma,White,Rd3,91
13581,153,Robert James Fischer,Black,Ra2+,92
13582,153,Bruno Parma,White,Kd1,93
13583,153,Robert James Fischer,Black,Bd4,94
13584,153,Bruno Parma,White,Rh3,95
13585,153,Robert James Fischer,Black,Bf6,96
13586,153,Bruno Parma,White,Re3+,97
13587,153,Robert James Fischer,Black,Be5,98
13588,153,Bruno Parma,White,Rd3,99
13589,153,Robert James Fischer,Black,Kd8,100
13590,153,Bruno Parma,White,Rd2,101
13591,153,Robert James Fischer,Black,Ra1+,102
13592,153,Bruno Parma,White,Ke2,103
13593,153,Robert James Fischer,Black,Kc7,104
13594,153,Bruno Parma,White,Bb5,105
13595,153,Robert James Fischer,Black,Bf4,106
13596,153,Bruno Parma,White,Rc2,107
13597,153,Robert James Fischer,Black,Ra3,108
13598,153,Bruno Parma,White,Rb2,109
13599,153,Robert James Fischer,Black,Be5,110
13600,153,Bruno Parma,White,Rd2,111
13601,153,Robert James Fischer,Black,Rg3,112
13602,153,Bruno Parma,White,Kd1,113
13603,153,Robert James Fischer,Black,f4,114
13604,154,Mato Damjanovic,White,d4,1
13605,154,Robert James Fischer,Black,Nf6,2
13606,154,Mato Damjanovic,White,c4,3
13607,154,Robert James Fischer,Black,c5,4
13608,154,Mato Damjanovic,White,Nf3,5
13609,154,Robert James Fischer,Black,cxd4,6
13610,154,Mato Damjanovic,White,Nxd4,7
13611,154,Robert James Fischer,Black,Nc6,8
13612,154,Mato Damjanovic,White,Nc3,9
13613,154,Robert James Fischer,Black,g6,10
13614,154,Mato Damjanovic,White,e4,11
13615,154,Robert James Fischer,Black,d6,12
