"X";"game";"player";"color";"move";"turn"
3098;41;"Stefansson, Hannes H";"Black";"cxd5";6
3099;41;"Brynell, Stellan";"White";"c4";7
3100;41;"Stefansson, Hannes H";"Black";"Nf6";8
3101;41;"Brynell, Stellan";"White";"Nc3";9
3102;41;"Stefansson, Hannes H";"Black";"e6";10
3179;42;"Tseitlin, Mark D";"White";"e4";1
3180;42;"Dizdarevic, Emir";"Black";"c6";2
3181;42;"Tseitlin, Mark D";"White";"d4";3
3182;42;"Dizdarevic, Emir";"Black";"d5";4
3183;42;"Tseitlin, Mark D";"White";"exd5";5
3184;42;"Dizdarevic, Emir";"Black";"cxd5";6
3185;42;"Tseitlin, Mark D";"White";"c4";7
3186;42;"Dizdarevic, Emir";"Black";"Nf6";8
3187;42;"Tseitlin, Mark D";"White";"Nc3";9
3188;42;"Dizdarevic, Emir";"Black";"Nc6";10
3252;43;"Becerra Rivero, Julio";"White";"e4";1
3253;43;"Asrian, Karen";"Black";"c6";2
3254;43;"Becerra Rivero, Julio";"White";"c4";3
3255;43;"Asrian, Karen";"Black";"d5";4
3256;43;"Becerra Rivero, Julio";"White";"exd5";5
3257;43;"Asrian, Karen";"Black";"cxd5";6
3258;43;"Becerra Rivero, Julio";"White";"cxd5";7
3259;43;"Asrian, Karen";"Black";"Nf6";8
3260;43;"Becerra Rivero, Julio";"White";"Nc3";9
3261;43;"Asrian, Karen";"Black";"Nxd5";10
3360;44;"Kunte, Abhijit";"White";"e4";1
3361;44;"Genba, Vladimir";"Black";"c6";2
3362;44;"Kunte, Abhijit";"White";"d4";3
3363;44;"Genba, Vladimir";"Black";"d5";4
3364;44;"Kunte, Abhijit";"White";"exd5";5
3365;44;"Genba, Vladimir";"Black";"cxd5";6
3366;44;"Kunte, Abhijit";"White";"c4";7
3367;44;"Genba, Vladimir";"Black";"Nf6";8
3368;44;"Kunte, Abhijit";"White";"Nc3";9
3369;44;"Genba, Vladimir";"Black";"e6";10
3413;45;"Bologan, Viktor";"White";"e4";1
3414;45;"Borges Mateos, Juan";"Black";"c6";2
3415;45;"Bologan, Viktor";"White";"d4";3
3416;45;"Borges Mateos, Juan";"Black";"d5";4
3417;45;"Bologan, Viktor";"White";"exd5";5
3418;45;"Borges Mateos, Juan";"Black";"cxd5";6
3419;45;"Bologan, Viktor";"White";"c4";7
3420;45;"Borges Mateos, Juan";"Black";"Nf6";8
3421;45;"Bologan, Viktor";"White";"Nc3";9
3422;45;"Borges Mateos, Juan";"Black";"Nc6";10
3442;46;"Reinderman, Dimitri";"White";"e4";1
3443;46;"Yermolinsky, Alex";"Black";"c6";2
3444;46;"Reinderman, Dimitri";"White";"d4";3
3445;46;"Yermolinsky, Alex";"Black";"d5";4
3446;46;"Reinderman, Dimitri";"White";"exd5";5
3447;46;"Yermolinsky, Alex";"Black";"cxd5";6
3448;46;"Reinderman, Dimitri";"White";"c4";7
3449;46;"Yermolinsky, Alex";"Black";"Nf6";8
3450;46;"Reinderman, Dimitri";"White";"Nc3";9
3451;46;"Yermolinsky, Alex";"Black";"e6";10
3512;47;"Reinderman, Dimitri";"White";"e4";1
3513;47;"Ivanchuk, Vassily";"Black";"d5";2
3514;47;"Reinderman, Dimitri";"White";"exd5";3
3515;47;"Ivanchuk, Vassily";"Black";"Nf6";4
3516;47;"Reinderman, Dimitri";"White";"d4";5
3517;47;"Ivanchuk, Vassily";"Black";"c6";6
3518;47;"Reinderman, Dimitri";"White";"c4";7
