"X";"game";"player";"color";"move";"turn"
1812;31;"Petzold, Vinzenz";"Black";"e5";2
1813;31;"Englund, Fritz C A";"White";"Nf3";3
1814;31;"Petzold, Vinzenz";"Black";"Nc6";4
1815;31;"Englund, Fritz C A";"White";"Bc4";5
1816;31;"Petzold, Vinzenz";"Black";"Bc5";6
1817;31;"Englund, Fritz C A";"White";"d3";7
1818;31;"Petzold, Vinzenz";"Black";"d6";8
1819;31;"Englund, Fritz C A";"White";"c3";9
1820;31;"Petzold, Vinzenz";"Black";"Nf6";10
1872;32;"Cohn, Wilhelm";"White";"e4";1
1873;32;"Forgacs, Leo";"Black";"e5";2
1874;32;"Cohn, Wilhelm";"White";"Nf3";3
1875;32;"Forgacs, Leo";"Black";"Nc6";4
1876;32;"Cohn, Wilhelm";"White";"Bc4";5
1877;32;"Forgacs, Leo";"Black";"Bc5";6
1878;32;"Cohn, Wilhelm";"White";"c3";7
1879;32;"Forgacs, Leo";"Black";"Nf6";8
1880;32;"Cohn, Wilhelm";"White";"d4";9
1881;32;"Forgacs, Leo";"Black";"exd4";10
1923;33;"Oskam, Gerard";"White";"e4";1
1924;33;"Esser, Johannes F";"Black";"e5";2
1925;33;"Oskam, Gerard";"White";"Nf3";3
1926;33;"Esser, Johannes F";"Black";"Nc6";4
1927;33;"Oskam, Gerard";"White";"Bc4";5
1928;33;"Esser, Johannes F";"Black";"Bc5";6
1929;33;"Oskam, Gerard";"White";"c3";7
1930;33;"Esser, Johannes F";"Black";"Nf6";8
1931;33;"Oskam, Gerard";"White";"d4";9
1932;33;"Esser, Johannes F";"Black";"exd4";10
1959;34;"Leonhardt, Paul S";"White";"e4";1
1960;34;"Berger, Johann N";"Black";"e5";2
1961;34;"Leonhardt, Paul S";"White";"Nf3";3
1962;34;"Berger, Johann N";"Black";"Nc6";4
1963;34;"Leonhardt, Paul S";"White";"Bc4";5
1964;34;"Berger, Johann N";"Black";"Bc5";6
1965;34;"Leonhardt, Paul S";"White";"c3";7
